sku,product_name,About_product,product_desc,product_care,product_image1,product_image2,product_image3,product_image4,product_image5,price,coupon_code,product_url,product_varieties,color ,Size_for_trail
RS172-101-230,NOAH BROGUES ,"Based on the success of our much loved Victoria Women's Brogues, Our Designers have crafted us the Noah Brogues, tailored with plush Nappa Leather in Light rose. Traditional Broguing details, supple canvas inner lining with a praline Sole renders its comfort and unique style. These laced up oxfords in this Fresh new color combination can accentuate any style of outfit with ease.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/2_022f8545-1db8-4162-9ca4-20f7c15988c8_1349x.jpg?v=1522920373,https://cdn.shopify.com/s/files/1/1226/4150/products/2_1_371a7207-9ecf-49c5-8847-0bdfbd5e3877_1349x.jpg?v=1522920373,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A4236_1349x.JPG?v=1522920373,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A4235_1349x.JPG?v=1522920373,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A4227_1349x.JPG?v=1522920373,2800,ANEC15,https://www.vaph.in/collections/women-oxfords-brogues/products/brogues-tan,,LIGHT ROSE,"39,40,41"
RS172-101-020,NOAH BROGUES ,"Based on the success of our much loved Victoria Womens Brogues, Our Designers have crafted us the Noah Brogues, tailored with plush Nappa Leather in Tan. Traditional Broguing details, supple canvas inner lining with a praline Sole renders its comfort and unique style. These laced up brogues in this fresh new color combination can accentuate any style of outfit with ease.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/1_775a8725-2a45-49b6-ac25-f1de6a9a70e3_1349x.jpg?v=1522836275,https://cdn.shopify.com/s/files/1/1226/4150/products/1_1_61f3b901-5036-430e-aa3c-8de72609ce8b_1349x.jpg?v=1522836275,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3926_1349x.JPG?v=1522836275,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3925_1349x.JPG?v=1522836275,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3918_1349x.JPG?v=1522836275,2800,ANEC15,https://www.vaph.in/collections/women-oxfords-brogues/products/brogues-light-rose,RS172-101-230,TAN,"36,37,38"
RS172-103-030,LILY SNEAKERS ,"Lily is the result of modern styling and luxury sensibilities and a floral blueprint, carved on our signature suede leather. These handcrafted sneakers features a round toe, elasticated side panels, a white rubber sole, a branded insole, pull tab in silver metallic leather and supple leather lining inside which make your feet float in style.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/1_4598504a-5b96-44fc-9cc2-2b39dce9608c_1080x.jpg?v=1522835156,https://cdn.shopify.com/s/files/1/1226/4150/products/1_1_41df1eb4-4263-4d17-9ff6-1c3a1754e47d_1080x.jpg?v=1522835156,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_PEPPER_RS172_103_1_1_3250x.jpg?v=1522835156,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_PEPPER_RS172_103_2_1_3088x.jpg?v=1522835156,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_PEPPER_RS172_103_3_1_2579x.jpg?v=1522835156,2700,ANEC15,https://www.vaph.in/collections/women-sneakers/products/lily-slip-on-sneakers-pepper,,PEPPER,"37,38"
RS172-103-001,LILY SNEAKERS ,"Lily is the result of modern styling and luxury sensibilities carved on our signature suede leather. These handcrafted sneakers features a round toe, elasticated side panels, a white rubber sole, a branded insole, pull tab in silver metallic leather and supple leather lining inside which make your feet float in style.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/2_ee187134-bf5b-4a8f-a585-d2e138ed8a32_1349x.jpg?v=1522835444,https://cdn.shopify.com/s/files/1/1226/4150/products/2_1_e916f6de-3614-44a7-b02a-58bff1e4541e_1349x.jpg?v=1522835444,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_BLACK_FLOWER_RS172_103_1_1_1349x.jpg?v=1522835444,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_BLACK_FLOWER_RS172_103_2_1_1349x.jpg?v=1522835444,https://cdn.shopify.com/s/files/1/1226/4150/products/LILY_SNEAKERS_BLACK_FLOWER_RS172_103_3_1_1349x.jpg?v=1522835444,2700,ANEC15,https://www.vaph.in/products/lily-slip-on-sneakers-black-flower,RS172-103-030,BLACK FLOWER,"39,40,41"
RS172-104-300,HALEY SNEAKERS ,"Haley is the trendy upgrade of our Best seller Robin, made from the finest Nappa leather. These new sneakers are crafted to shine with their Gold metallic pull tab on sporty white body with minimal perforations for airflow and a white rubber sole. These pair of sneakers makes you pull off any look effortlessly and with supreme comfort.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/3_b829056d-8cc6-4385-81b6-c06a49ae18ae_1349x.jpg?v=1523451298,https://cdn.shopify.com/s/files/1/1226/4150/products/3_1_68bc0a2f-5d36-48a6-8b7f-095749b8fbcc_1349x.jpg?v=1523451298,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_ROSE_GOLD_RS172_104_1_1_1349x.jpg?v=1523451298,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_ROSE_GOLD_RS172_104_2_1_1349x.jpg?v=1523451298,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_ROSE_GOLD_RS172_104_5_1_1349x.jpg?v=1523451298,2800,ANEC15,https://www.vaph.in/products/haley-sneakers-gold,,GOLD,"39,40"
RS172-104-160,HALEY SNEAKERS ,"Haley is the trendy upgrade of our Best seller Robin, made from the finest Nappa leather. These new sneakers are crafted to shine with their Bordo metallic pull tab on sporty white body with minimal perforations for airflow and a white rubber sole. These pair of sneakers makes you pull off any look effortlessly and with supreme comfort.",It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/1_13737b1b-bdd1-4181-bd58-b475e32b5dff_1349x.jpg?v=1523442906,https://cdn.shopify.com/s/files/1/1226/4150/products/1_1_bb3bca1a-1991-4dcc-b3d3-144a8cee5efc_1349x.jpg?v=1523442906,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_BORDEAUX_RS172_104_1_1_1349x.jpg?v=1523442906,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_BORDEAUX_RS172_104_2_1_1349x.jpg?v=1523442906,https://cdn.shopify.com/s/files/1/1226/4150/products/HALEY_SNEAKERS_BORDEAUX_RS172_104_5_1_1349x.jpg?v=1523442906,2800,ANEC15,https://www.vaph.in/collections/women-sneakers/products/haley-sneakers-bordo,RS172-104-300,BORDEAUX,"36,37,38"
RS172-105-030,MOLLY MULES ,These Aesthetically sculpted pairs of sumptuous mules boast a comfortable slip-on style with an open back on a plush Nappa leather in Pepper with quirky new inner linings. The Light heel on the soles provides the timeless mules with a sophisticated finish and the utmost comfort,It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/1_1_9d593f5f-d8ad-4c79-8f33-255ad432b24a_1080x.jpg?v=1522836166,https://cdn.shopify.com/s/files/1/1226/4150/products/1_c306032f-5cf5-4441-b0d9-45c562c97e2f_1080x.jpg?v=1522836166,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3784_2668x.JPG?v=1522836166,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3783_2849x.JPG?v=1522836166,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3776_3290x.JPG?v=1522836166,2400,ANEC15,https://www.vaph.in/collections/women-flats-mules/products/molly-mules-pepper,,PEPPER,"38,39"
RS172-105-001,MOLLY MULES ,These Aesthetically sculpted pair of sumptuous mules boast a comfortable slip-on style with an open back on a plush Nappa leather in Black with quirky new inner linings. The Light heel on the soles provides the timeless mules with a sophisticated finish and the utmost comfort.,It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/2_8cbb5484-f240-41aa-b361-ad055c4a030a_1080x.jpg?v=1522835888,https://cdn.shopify.com/s/files/1/1226/4150/products/2_1_04313d2b-e1c9-4585-a893-c984e3781c45_1080x.jpg?v=1522835888,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3754_1500x.JPG?v=1522835888,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3753_1500x.JPG?v=1522835888,https://cdn.shopify.com/s/files/1/1226/4150/products/H91A3746_1500x.JPG?v=1522835888,2400,ANEC15,https://www.vaph.in/products/molly-mules-black,RS172-105-030,BLACK,"36,37"
RS172-106-030,CLEO LOAFERS ,Cleo is the perfect blend of comfort and style with its signature blend of soft leathers in Vivid colors and a quirky inner lining. These handcrafted loafers are designed with contrasting thread details and a flat white sole with teal rubber accents at the bottom making them a Trendy option for modern leisure wear.,It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/4_e4faa1f1-d94b-4d1e-b825-cbda4468e76c_1080x.jpg?v=1522831892,https://cdn.shopify.com/s/files/1/1226/4150/products/4_1_1080x.jpg?v=1522831892,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_PEPPER_RS172_106_1_1_3010x.jpg?v=1522831892,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_PEPPER_RS172_106_2_1_3121x.jpg?v=1522831892,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_PEPPER_RS172_106_3_1_2908x.jpg?v=1522831892,2600,ANEC15,https://www.vaph.in/collections/women-loafers-moccasins/products/cleo-loafers-pepper,,PEPPER,"36,37,38"
RS172-106-050,CLEO LOAFERS ,Cleo is the perfect blend of comfort and style with its signature blend of soft leathers in Vivid colors and a quirky inner lining. These handcrafted loafers are designed with contrasting thread details and a flat white sole with teal rubber accents at the bottom making them a Trendy option for modern leisure wear.,It is avalaible in 4 Sizes: ,wipe with dry cloth,https://cdn.shopify.com/s/files/1/1226/4150/products/2_6992762d-84bd-447c-98a9-c845d5aa10e2_1080x.jpg?v=1522831796,https://cdn.shopify.com/s/files/1/1226/4150/products/2_1_1080x.jpg?v=1522831796,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_NAVY_RS172_106_1_1_4006x.jpg?v=1522831796,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_NAVY_RS172_106_2_1600x.png?v=1522831796,https://cdn.shopify.com/s/files/1/1226/4150/products/CLEO_LOAFERS_NAVY_RS172_106_3_1_2664x.jpg?v=1522831796,2600,ANEC15,https://www.vaph.in/products/cleo-loafers-navy,RS172-106-030,NAVY,"39,40,41"
